iteration[v]/size[->]         size100                 size200                 size400                 size800                 size1600                size3200                size6400                size12800               size25600               size51200               
1                             306263                  1273734                 1018348                 1200609                 3723310                 14243578                65039946                233012024               904508917               4031927726              
2                             305876                  1180884                 894368                  1264192                 3678568                 12163078                62236009                228877834               889794552               3676327886              
3                             316105                  1283605                 1016265                 1307775                 3298221                 11607408                60600117                211712147               952721478               3668205941              
4                             323250                  1262339                 918479                  1273884                 3518301                 12279991                57430878                204174400               957736561               3670381116              
5                             257776                  1268205                 887723                  1161623                 3623859                 13128506                54570297                199550740               894237564               3677324526              
6                             272568                  1243133                 859468                  1089191                 4320256                 12837880                54416171                199153455               891472784               3694574881              
7                             258848                  1095715                 654598                  1109501                 3740176                 12571514                54144261                202723902               899794193               3687318614              
8                             262698                  1260935                 333212                  898864                  3595063                 12244003                54036552                199793827               885460914               3678161914              
9                             258848                  277773                  388090                  922095                  3793584                 13608459                48324061                200001240               893006313               3678371158              
10                            262307                  276468                  394794                  934972                  3558099                 13230193                48033087                200708567               884731672               3665802718              
