iteration[v]/size[->]         size100                 size200                 size400                 size800                 size1600                size3200                size6400                size12800               size25600               size51200               size102400              size204800              size409600              size819200              size1638400             size3276800             size6553600             size13107200            size26214400            size52428800            
1                             358372                  356044                  68428                   75666                   126079                  192745                  344625                  139608                  166925                  196473                  317369                  609059                  1691363                 2496044                 6508384                 14921747                16432739                32685896                109488415               140405924               
2                             339940                  338552                  61626                   72790                   124700                  191241                  342482                  127165                  164615                  196243                  316610                  550567                  5145234                 5532670                 7186464                 9139079                 16322742                32560319                72863062                252561399               
3                             375581                  338013                  48337                   74679                   124840                  190770                  342768                  126473                  165236                  196790                  330368                  550873                  4048901                 2333108                 4606286                 8238760                 16301345                32558921                75469377                132854019               
4                             337919                  346060                  50714                   73936                   123844                  191010                  344483                  127002                  164153                  198136                  406337                  557998                  1228657                 7448165                 4565840                 8206373                 16333663                32658648                130164033               132554232               
5                             340784                  341977                  48728                   73368                   130750                  190573                  352998                  126639                  165667                  197349                  316537                  551259                  1125006                 2385523                 8148684                 8182976                 16300671                32567821                67451948                132459580               
6                             331624                  336385                  48761                   77120                   124695                  189815                  332053                  133846                  162033                  201559                  319440                  554209                  1675337                 6885815                 8359817                 10606824                16678603                32549725                65174617                131471965               
7                             337588                  360634                  49625                   73868                   125362                  190565                  331069                  124726                  157899                  196621                  402665                  551009                  6194763                 2297174                 5367956                 8169872                 16321367                32619085                65068421                130396903               
8                             344395                  350319                  48723                   75572                   125204                  190087                  331917                  124486                  157895                  196424                  2128626                 550842                  6482096                 4475260                 4469747                 8186721                 16301712                55689026                65113622                130180989               
9                             344478                  361576                  49232                   73902                   113082                  191109                  338152                  123421                  159729                  197368                  1418071                 551271                  6531251                 2317053                 7908820                 8184569                 16310822                55024221                65632398                131461985               
10                            338386                  338997                  49154                   73798                   111682                  190384                  333739                  124401                  165124                  197010                  318093                  551009                  5967732                 2340584                 6879018                 8186419                 16323592                51907765                65090813                131298762               
