iteration[v]/size[->]         size100                 size200                 size400                 size800                 size1600                size3200                size6400                size12800               size25600               size51200               size102400              
1                             70230                   183395                  207873                  524903                  303134                  1165074                 4619017                 18209797                103159354               309420628               1490864334              
2                             44325                   184874                  140879                  542697                  303390                  1145614                 4721833                 19036678                96743925                293390022               1313976207              
3                             47743                   188793                  128463                  382564                  309454                  1222987                 4637601                 20231302                92529934                294729285               1292325186              
4                             44951                   187479                  174968                  321161                  299697                  1170240                 4557173                 18393760                86536135                290627739               1169383747              
5                             51365                   195187                  160346                  335685                  296408                  1180787                 5008903                 18291941                84205879                296421687               1176334448              
6                             44191                   62936                   135608                  323206                  298505                  1143650                 4597958                 18482511                85253580                289421301               1172089100              
7                             45817                   62066                   140728                  374044                  292555                  1196312                 4626712                 18276592                84129827                296296401               1173214590              
8                             51344                   47295                   141109                  317375                  309112                  1167366                 4616556                 25411308                84272244                289926542               1173146744              
9                             48466                   40577                   137440                  319176                  298769                  1210459                 4623035                 24034760                82534264                352114001               1173078584              
10                            50897                   36026                   146618                  323219                  350269                  1168694                 4544925                 22841972                86862922                386795365               1179416061              
