iteration[v]/size[->]         size100                 size200                 size400                 size800                 size1600                size3200                size6400                size12800               size25600               size51200               size102400              size204800              size409600              size819200              size1638400             size3276800             size6553600             size13107200            size26214400            size52428800            
1                             95120                   46883                   63073                   136753                  296754                  627032                  1344106                 2824424                 3533152                 8189079                 20818152                44789905                84103055                144056609               287887001               782132153               1456659568              3030762233              5815577392              11566457866             
2                             73290                   28393                   62370                   135408                  295996                  651504                  1298639                 2771477                 3535060                 7545634                 21291213                44142169                91491606                143407834               279985716               666874441               1519465564              3294115453              5325170944              12055331237             
3                             64995                   29505                   61836                   134472                  294984                  638718                  1297759                 2779143                 3530273                 7557257                 25351751                42468149                79544460                137081836               285703917               641563739               1628180620              2512615695              5322234750              11193021636             
4                             65409                   28423                   61443                   135697                  295614                  644678                  1351826                 2822022                 3708533                 7514740                 23802844                41930450                66055441                137114439               279823608               764825883               1428542907              2916937756              5595991731              11233158369             
5                             64413                   27596                   61414                   136900                  296704                  638284                  1299210                 7364234                 3539634                 8284190                 22793477                39731919                66024546                138911355               284289743               588084375               1184234788              2459820092              5277939447              11167634612             
6                             64876                   28501                   61780                   136768                  298933                  633277                  1296856                 12721740                3528166                 10104687                24676011                41493885                66031264                141638467               279263529               584593582               1183831526              2453099403              5272061516              12827152899             
7                             64967                   28397                   61957                   142026                  298852                  620369                  1349224                 12720277                3527891                 7524023                 21625522                42456502                67758982                137057421               285021787               582273017               1187095958              3297495703              6104657098              11969787275             
8                             64830                   28270                   70262                   136485                  305924                  623539                  1292607                 5924345                 3540427                 7550429                 23607276                41933215                67499206                138487739               352958170               583370321               1650534219              2457307703              5288537813              11201605023             
9                             64185                   28145                   62460                   137193                  286033                  622516                  1342116                 2263524                 3851007                 9340486                 20574156                40324196                66124200                137456015               381366573               584369076               1414824313              2458648308              5278944202              11166947994             
10                            29803                   27488                   61978                   142771                  285739                  622002                  1294148                 1682272                 5019690                 14597175                23104301                40655349                66050460                137017961               354428826               583153022               1181828950              2473653898              6090875010              12787405853             
