iteration[v]/size[->]         size100                 size200                 size400                 size800                 size1600                size3200                size6400                size12800               size25600               size51200               size102400              size204800              size409600              size819200              size1638400             size3276800             size6553600             size13107200            size26214400            size52428800            
1                             41210                   38663                   62536                   144456                  256999                  422354                  1006814                 1212490                 2366164                 7236279                 12190941                23522637                39964084                72801127                146792280               293451694               740874108               1354455133              2754532871              5055197445              
2                             49854                   23085                   83305                   122980                  253014                  460286                  1203229                 1170718                 2270335                 6616154                 11587862                21932000                39957204                74040386                140848674               284468754               601249044               1416179365              2328758463              4838265048              
3                             27311                   20613                   73681                   126885                  254898                  421957                  1591401                 1181600                 2179843                 6127791                 12009264                21390722                40644592                70502513                141938307               293051030               647935457               1167659852              2452239964              4817897418              
4                             38886                   26155                   59378                   126352                  249878                  426632                  1198538                 1179127                 2297421                 5651367                 12234302                21951846                39763473                70312650                140167558               287511678               705365698               1166338708              2392604973              4823651617              
5                             25109                   19327                   52984                   124028                  253903                  422970                  1530402                 1182969                 2202253                 5076016                 11563665                20473784                41132581                71283860                146934476               288456762               579081868               1175811622              2403117726              4846802643              
6                             25373                   19723                   47989                   124323                  262374                  465984                  1306140                 1185518                 2192024                 4843161                 12128226                20431749                39957706                73134006                139835810               293069257               579359290               1165905853              2362509723              4900332682              
7                             27161                   23506                   49884                   123626                  253955                  431101                  1430834                 1162711                 2219333                 4875791                 11584206                20460858                39246315                71164923                143062224               344852820               583444074               1154854577              2354595222              4841297694              
8                             24794                   24221                   49589                   122873                  190799                  420152                  871956                  1143247                 2221522                 5890637                 10280381                19723985                41099594                69341278                146165834               367522656               582522227               1160769111              2342189390              4819040154              
9                             42821                   34750                   62758                   127730                  193578                  422789                  640746                  1145917                 2191277                 5352120                 10577368                20532638                42507854                74454000                140553756               322289213               579154832               1151352885              2382884193              4823002800              
10                            27727                   23206                   46851                   121303                  195564                  458193                  683100                  1135340                 2439293                 5157260                 11288522                19838932                43269643                70037852                143230064               290704367               575307970               1185767570              2375181123              4829037682              
