iteration[v]/size[->]         size100                 size200                 size400                 size800                 size1600                size3200                size6400                size12800               size25600               size51200               size102400              
1                             90484                   328091                  354343                  1428613                 1291254                 3634320                 14896919                78790822                253088097               1084837528              4286048915              
2                             84339                   211128                  361894                  378876                  1295414                 3646943                 14137091                72500459                231592965               904025295               4389943582              
3                             85259                   103087                  358405                  380772                  1300191                 3632694                 15587380                68025777                221952904               969608179               3531076284              
4                             84325                   109002                  353601                  380028                  1270570                 3650625                 18202627                66840867                224315617               984654339               3525724153              
5                             91728                   93721                   354719                  381059                  1263812                 3911998                 15213911                63808447                220468004               882371568               3550295141              
6                             83854                   93342                   352964                  380331                  1268021                 3655590                 14245484                60316012                223102582               886012002               3533222456              
7                             84017                   92718                   354509                  377784                  1274547                 3647673                 14127867                60323246                220645694               882243583               3530293509              
8                             83589                   92575                   354450                  379272                  1259645                 3702856                 14147722                61194787                220565595               908708960               4375557951              
9                             83384                   93236                   353807                  403294                  1267639                 3659550                 14161659                60032429                224723155               1350059884              3531618927              
10                            83596                   92883                   353650                  396082                  1255739                 3631293                 15619474                61488821                220614500               989626334               3532971539              
