arraySize	k=100	k=1000	k=10000	k=100000	k=1000000	k=10000000	merge sort	quick sort
1.00000E+02	0.0156	0.0542	0.3385	1.1947	5.1461	38.8535	0.0652	0.033
2.00000E+02	0.024	0.0547	0.2631	0.5157	2.8078	48.8936	0.0302	0.0253
4.00000E+02	0.0486	0.0847	0.2381	0.8797	3.2789	42.3734	0.0629	0.0589
8.00000E+02	0.0705	0.0982	0.1448	0.3666	2.9898	17.1548	0.1374	0.1265
1.60000E+03	0.1433	0.0708	0.1788	1.1665	5.1246	27.2817	0.2956	0.2365
3.20000E+03	0.2541	0.0995	0.2545	0.1636	2.7564	31.2252	0.6322	0.4352
6.40000E+03	0.1051	0.1682	0.3155	0.2084	4.0037	27.9753	1.3166	1.1463
1.28000E+04	0.1899	0.1625	0.1742	0.6445	4.5177	48.839	5.3873	1.17
2.56000E+04	0.3918	0.1391	0.3775	0.5187	5.768	58.8237	3.7314	2.2579
5.12000E+04	0.7477	0.1351	0.3061	0.89	6.2584	21.8784	8.8208	5.6827
1.02400E+05	1.0958	0.2215	0.4856	2.4131	11.254	28.4715	22.7645	11.5445
2.04800E+05	1.8532	0.8832	1.8484	3.8729	13.7611	32.2139	41.9926	21.0259
4.09600E+05	3.4589	1.5637	4.1225	4.9469	20.0411	43.7685	72.0683	40.7543
8.19200E+05	5.5552	4.6642	3.9886	7.9171	29.1418	58.296	139.223	71.7073
1.63840E+06	8.8623	7.0261	10.9096	12.5235	20.0887	116.9214	307.0729	142.9529
3.27680E+06	15.0908	8.3235	14.1409	17.169	81.893	183.4051	636.124	306.5378
6.55360E+06	28.8167	16.6642	31.0148	40.7718	51.5545	437.7957	1383.5198	617.4295
1.31072E+07	41.8234	42.9317	47.3199	56.5393	199.0669	633.9687	2735.4456	1209.9095
2.62144E+07	103.5114	82.7591	95.1042	105.7213	313.0668	948.102	5537.199	2414.8614
5.24288E+07	167.8987	120.445	179.136	198.2022	289.3032	1704.5801	11716.8503	4859.4525
