arraySize           bubble              insertion           selection           quick               counting            merge               
100                 +0.2578             +0.0442             +0.0834             +0.0248             +0.3316             +0.0298             
200                 +0.2765             +0.0360             +0.0926             +0.0193             +0.3364             +0.0275             
400                 +0.3332             +0.1285             +0.3530             +0.0469             +0.0483             +0.0614             
800                 +0.8989             +0.3174             +0.3778             +0.1213             +0.0728             +0.1345             
1600                +3.2982             +0.2926             +1.2557             +0.1908             +0.1117             +0.2857             
3200                +11.6074            +1.1437             +3.6313             +0.4202             +0.1898             +0.6204             
6400                +48.0331            +4.5449             +14.1279            +0.6407             +0.3311             +1.2926             
12800               +199.1535           +18.2098            +60.0324            +1.1353             +0.1234             +1.6823             
25600               +884.7317           +82.5343            +220.4680           +2.1798             +0.1579             +3.5279             
51200               +3665.8027          +289.4213           +882.2436           +4.8432             +0.1962             +7.5147             
102400              NaN                 +1169.3837          +3525.7242          +10.2804            +0.3165             +20.5742            
204800              NaN                 NaN                 NaN                 +19.7240            +0.5506             +39.7319            
409600              NaN                 NaN                 NaN                 +39.2463            +1.1250             +66.0245            
819200              NaN                 NaN                 NaN                 +69.3413            +2.2972             +137.0180           
1638400             NaN                 NaN                 NaN                 +139.8358           +4.4697             +279.2635           
3276800             NaN                 NaN                 NaN                 +284.4688           +8.1699             +582.2730           
6553600             NaN                 NaN                 NaN                 +575.3080           +16.3007            +1181.8290          
13107200            NaN                 NaN                 NaN                 +1151.3529          +32.5497            +2453.0994          
26214400            NaN                 NaN                 NaN                 +2328.7585          +65.0684            +5272.0615          
52428800            NaN                 NaN                 NaN                 +4817.8974          +130.1810           +11166.9480         
