arraySize           bubble              insertion           selection           quick               counting            merge               
100                 +0.2825             +0.0499             +0.0855             +0.0330             +0.3449             +0.0652             
200                 +1.0423             +0.1189             +0.1310             +0.0253             +0.3469             +0.0302             
400                 +0.7365             +0.1514             +0.3552             +0.0589             +0.0523             +0.0629             
800                 +1.1163             +0.3764             +0.4886             +0.1265             +0.0745             +0.1374             
1600                +3.6849             +0.3061             +1.2747             +0.2365             +0.1230             +0.2956             
3200                +12.7915            +1.1771             +3.6774             +0.4352             +0.1908             +0.6322             
6400                +55.8831            +4.6554             +15.0340            +1.1463             +0.3394             +1.3166             
12800               +207.9708           +20.3211            +65.3322            +1.1700             +0.1278             +5.3873             
25600               +905.3465           +88.6228            +226.1069           +2.2579             +0.1629             +3.7314             
51200               +3712.8396          +309.9143           +984.2148           +5.6827             +0.1974             +8.8208             
102400              NaN                 +1231.3829          +3778.6752          +11.5445            +0.6274             +22.7645            
204800              NaN                 NaN                 NaN                 +21.0259            +0.5578             +41.9926            
409600              NaN                 NaN                 NaN                 +40.7543            +4.0090             +72.0683            
819200              NaN                 NaN                 NaN                 +71.7073            +3.8511             +139.2230           
1638400             NaN                 NaN                 NaN                 +142.9529           +6.4001             +307.0729           
3276800             NaN                 NaN                 NaN                 +306.5378           +9.2023             +636.1240           
6553600             NaN                 NaN                 NaN                 +617.4295           +16.3627            +1383.5198          
13107200            NaN                 NaN                 NaN                 +1209.9095          +39.0821            +2735.4456          
26214400            NaN                 NaN                 NaN                 +2414.8614          +78.1517            +5537.1990          
52428800            NaN                 NaN                 NaN                 +4859.4525          +144.5646           +11716.8503         
