arraySize           bubble              insertion           selection           quick               counting            merge               
100                 +9.5361             +15.3689            +3.5538             +27.9100            +3.7251             +24.0688            
200                 +39.0699            +61.7035            +59.7696            +25.3514            +2.7948             +19.5656            
400                 +36.8013            +15.7969            +0.7792             +20.4805            +13.2042            +4.2127             
800                 +13.7227            +22.9013            +67.6186            +5.2438             +1.7430             +1.9935             
1600                +7.1525             +5.3533             +1.2179             +12.6801            +4.8186             +2.0176             
3200                +6.1063             +2.2059             +2.3108             +4.2409             +0.4229             +1.7072             
6400                +9.9440             +2.8600             +8.4527             +29.4109            +2.1330             +1.9873             
12800               +6.1072             +13.4831            +9.6077             +2.0111             +3.9671             +78.7623            
25600               +2.9800             +7.5883             +4.4520             +3.8246             +2.0420             +12.4707            
51200               +3.0285             +10.6227            +14.6361            +13.9263            +0.7938             +25.1225            
102400              NaN                 +8.6085             +10.4680            +5.8130             +100.0493           +7.2190             
204800              NaN                 NaN                 NaN                 +5.5757             +3.2549             +3.7924             
409600              NaN                 NaN                 NaN                 +3.1494             +58.3501            +13.0667            
819200              NaN                 NaN                 NaN                 +2.4805             +53.8475            +1.9896             
1638400             NaN                 NaN                 NaN                 +1.9466             +24.0977            +12.8198            
3276800             NaN                 NaN                 NaN                 +9.3521             +23.4227            +12.2877            
6553600             NaN                 NaN                 NaN                 +9.7620             +0.7185             +13.5618            
13107200            NaN                 NaN                 NaN                 +7.7768             +26.8167            +13.2147            
26214400            NaN                 NaN                 NaN                 +5.1476             +29.1592            +6.2175             
52428800            NaN                 NaN                 NaN                 +1.5000             +26.3255            +5.6598             
