arraySize           bubble              insertion           selection           quick               counting            merge               
100                 +0.0269             +0.0077             +0.0030             +0.0092             +0.0128             +0.0157             
200                 +0.4072             +0.0733             +0.0783             +0.0064             +0.0097             +0.0059             
400                 +0.2711             +0.0239             +0.0028             +0.0121             +0.0069             +0.0026             
800                 +0.1532             +0.0862             +0.3304             +0.0066             +0.0013             +0.0027             
1600                +0.2636             +0.0164             +0.0155             +0.0300             +0.0059             +0.0060             
3200                +0.7811             +0.0260             +0.0850             +0.0185             +0.0008             +0.0108             
6400                +5.5570             +0.1331             +1.2708             +0.3371             +0.0072             +0.0262             
12800               +12.7011            +2.7399             +6.2769             +0.0235             +0.0051             +4.2432             
25600               +26.9796            +6.7250             +10.0663            +0.0864             +0.0033             +0.4653             
51200               +112.4448           +32.9213            +144.0509           +0.7914             +0.0016             +2.2160             
102400              NaN                 +106.0038           +395.5503           +0.6711             +0.6277             +1.6434             
204800              NaN                 NaN                 NaN                 +1.1723             +0.0182             +1.5925             
409600              NaN                 NaN                 NaN                 +1.2835             +2.3393             +9.4170             
819200              NaN                 NaN                 NaN                 +1.7787             +2.0737             +2.7699             
1638400             NaN                 NaN                 NaN                 +2.7827             +1.5423             +39.3662            
3276800             NaN                 NaN                 NaN                 +28.6676            +2.1554             +78.1653            
6553600             NaN                 NaN                 NaN                 +60.2738            +0.1176             +187.6299           
13107200            NaN                 NaN                 NaN                 +94.0925            +10.4805            +361.4812           
26214400            NaN                 NaN                 NaN                 +124.3078           +22.7884            +344.2744           
52428800            NaN                 NaN                 NaN                 +72.8935            +38.0573            +663.1480           
