arraySize           bubble              insertion           selection           quick               counting            merge               
100                 +0.3233             +0.0702             +0.0917             +0.0499             +0.3756             +0.0951             
200                 +1.2836             +0.1952             +0.3281             +0.0387             +0.3616             +0.0469             
400                 +1.0183             +0.2079             +0.3619             +0.0833             +0.0684             +0.0703             
800                 +1.3078             +0.5427             +1.4286             +0.1445             +0.0771             +0.1428             
1600                +4.3203             +0.3503             +1.3002             +0.2624             +0.1308             +0.3059             
3200                +14.2436            +1.2230             +3.9120             +0.4660             +0.1927             +0.6515             
6400                +65.0399            +5.0089             +18.2026            +1.5914             +0.3530             +1.3518             
12800               +233.0120           +25.4113            +78.7908            +1.2125             +0.1396             +12.7217            
25600               +957.7366           +103.1594           +253.0881           +2.4393             +0.1669             +5.0197             
51200               +4031.9277          +386.7954           +1350.0599          +7.2363             +0.2016             +14.5972            
102400              NaN                 +1490.8643          +4389.9436          +12.2343            +2.1286             +25.3518            
204800              NaN                 NaN                 NaN                 +23.5226            +0.6091             +44.7899            
409600              NaN                 NaN                 NaN                 +43.2696            +6.5313             +91.4916            
819200              NaN                 NaN                 NaN                 +74.4540            +7.4482             +144.0566           
1638400             NaN                 NaN                 NaN                 +146.9345           +8.3598             +381.3666           
3276800             NaN                 NaN                 NaN                 +367.5227           +14.9217            +782.1322           
6553600             NaN                 NaN                 NaN                 +740.8741           +16.6786            +1650.5342          
13107200            NaN                 NaN                 NaN                 +1416.1794          +55.6890            +3297.4957          
26214400            NaN                 NaN                 NaN                 +2754.5329          +130.1640           +6104.6571          
52428800            NaN                 NaN                 NaN                 +5055.1974          +252.5614           +12827.1529         
